Line,Staff,StartTime,EndTime
1,1,2018-03-25 14:50:01,2018-03-25 23:00:01
1,3,2018-03-25 14:50:03,2018-03-25 23:00:03
1,1,2018-03-25 22:50:01,2018-03-26 06:40:01
1,3,2018-03-25 22:50:03,2018-03-26 06:40:03
1,1,2018-03-26 06:30:01,2018-03-26 15:00:01
1,3,2018-03-26 06:30:03,2018-03-26 15:00:03
1,1,2018-03-26 14:50:01,2018-03-26 23:00:00
1,3,2018-03-26 14:50:03,2018-03-26 17:23:46
1,4,2018-03-26 17:23:50,2018-03-26 23:00:00
1,1,2018-03-26 22:50:01,2018-03-27 06:40:01
1,4,2018-03-26 22:50:04,2018-03-27 06:40:04
1,1,2018-03-27 06:30:01,2018-03-27 07:00:04
1,4,2018-03-27 06:30:04,2018-03-27 15:00:00
1,3,2018-03-27 07:00:07,2018-03-27 15:00:00
1,3,2018-03-27 14:50:03,2018-03-27 23:00:03
1,4,2018-03-27 14:50:04,2018-03-27 23:00:04
1,3,2018-03-27 22:50:03,2018-03-28 06:40:03
1,4,2018-03-27 22:50:04,2018-03-28 06:40:04
1,3,2018-03-28 06:30:03,2018-03-28 15:00:03
1,4,2018-03-28 06:30:04,2018-03-28 15:00:04
1,3,2018-03-28 14:50:03,2018-03-28 23:00:03
1,4,2018-03-28 14:50:04,2018-03-28 23:00:04
1,3,2018-03-28 22:50:03,2018-03-29 06:40:03
1,4,2018-03-28 22:50:04,2018-03-29 06:40:04
1,3,2018-03-29 06:30:03,2018-03-29 15:00:03
1,4,2018-03-29 06:30:04,2018-03-29 15:00:04
1,3,2018-03-29 14:50:03,2018-03-29 23:00:03
1,4,2018-03-29 14:50:04,2018-03-29 23:00:04
1,3,2018-03-29 22:50:03,2018-03-30 06:40:03
1,4,2018-03-29 22:50:04,2018-03-30 06:40:04
1,3,2018-03-30 06:30:03,2018-03-30 15:00:03
1,4,2018-03-30 06:30:04,2018-03-30 15:00:04
1,3,2018-03-30 14:50:03,2018-03-30 23:00:03
1,4,2018-03-30 14:50:04,2018-03-30 23:00:04
1,3,2018-03-30 22:50:03,2018-03-31 06:40:03
1,4,2018-03-30 22:50:04,2018-03-31 06:40:04
1,3,2018-03-31 06:30:03,2018-03-31 15:00:03
1,4,2018-03-31 06:30:04,2018-03-31 15:00:04
